date,VIS@KAU.A,VISUS@KAU.A,VISUSW@KAU.A,VISUSE@KAU.A,VISJP@KAU.A,VISRES@KAU.A,VLOS@KAU.A,VDAY@KAU.A,PRM@KAU.A,OCUP%@KAU.A,VEXP@KAU.A
1989-01-01,,,,,,,,,92.13250000000001,71.09166666666665,
1990-01-01,1228.8495433326975,992.0236,,,,,,,92.02666666666666,67.25833333333334,
1991-01-01,1182.3263306884683,960.9457,,,107.14999999999998,114.23063068846824,,,95.89916666666666,61.60833333333335,
1992-01-01,881.7303428377162,650.6444000000001,,,109.62,121.46594283771609,5.718920074556275,5042.545358000001,87.5141666666667,69.625,
1993-01-01,576.3656999692801,391.29779999999994,,,84.71999999999998,100.34789996928014,5.162308545006384,2975.3775780000005,65.81416666666668,72.56666666666666,
1994-01-01,860.7187509557821,645.4462,,,90.12000000000002,125.15255095578215,5.6123776072448655,4830.678644000001,109.09749999999998,75.99166666666666,
1995-01-01,929.1500804582585,692.4749000000002,,,95.51999999999998,141.15518045825849,5.611578718723724,5213.998817999999,124.99083333333333,64.16666666666667,
1996-01-01,975.4363452584432,730.0055,,,101.70000000000002,143.7308452584433,5.619246693691473,5481.217458000001,126.06750000000001,65.34166666666665,
1997-01-01,997.0867190284378,732.4434999999999,,,98.33000000000001,166.31321902843786,5.9542514785323055,5936.905071000001,134.7208333333334,66.97500000000001,
1998-01-01,1078.3995818226836,794.7466,,,112.03,171.6229818226834,5.823217609548881,6279.755435,138.16416666666666,65.73333333333335,
1999-01-01,1089.2886045244759,845.4257999999998,,,92.57000000000002,151.292804524476,5.876013840973013,6400.674916999999,144.9333333333333,70.35000000000002,
2000-01-01,1074.8214350313913,832.9500000000002,445.13,387.82,126.19000000000001,115.68143503139127,6.159689224849373,6620.566012000001,148.48416666666668,74.63333333333333,
2001-01-01,1008.697785076027,792.3950000000002,433.1550000000001,359.24000000000007,117.42000000000003,98.88278507602683,6.102916823135498,6155.998682,150.73333333333332,70.5,
2002-01-01,1005.8972880585242,795.3990000000003,447.4080000000001,347.99099999999993,95.186,115.31228805852399,6.297889757936619,6335.0302280000005,157.74416666666664,70.20833333333333,
2003-01-01,975.8669847940015,817.428277,468.018551,349.4097259999999,51.695784,106.74292379400143,6.795756600373066,6631.754502999998,169.37666666666667,74.675,1009.2029777734857
2004-01-01,1020.9213095234365,855.359117,488.667639,366.69147799999996,54.90442300000001,110.65776952343667,6.867623879134092,7011.303564,176.81416666666675,78.17500000000001,1087.8826632615085
2005-01-01,1090.1474113755608,928.0280000000001,529.4330000000001,398.59500000000014,43.713802,118.40560937556077,6.5796175399337375,7172.7530289999995,179.55416666666665,76.2333333333333,1139.3685103668415
2006-01-01,1204.1321332619982,1027.536579,596.3039930000001,431.2325859999999,33.63705500000001,142.95849926199818,6.3913907779798995,7696.079011999998,189.39250000000004,74.76666666666665,1226.6569503516594
2007-01-01,1299.044952916479,1099.7246569999998,638.393974,461.330683,34.401068164376184,164.91922775210293,6.267017649945351,8141.137648000001,206.78083333333325,75.81666666666666,1351.188733048606
2008-01-01,1030.648,866.8552209999998,515.377376,351.4778449999999,26.166963983446465,137.62581501655353,7.055963369647057,7272.214534999999,205.9766666666667,70.16666666666664,1144.0310918876016
2009-01-01,928.1121416968945,789.707964,482.7319550000001,306.976009,20.89216957054709,117.51200812634737,7.360440885419415,6831.314554,188.7275,57.19166666666666,999.116614176715
2010-01-01,964.7238391927713,799.3748272704038,485.6995707233873,313.67525654701655,21.355665369860468,143.99334655250715,7.395588761411692,7134.700782999999,186.34916666666663,59.308333333333316,1124.2528261625873
2011-01-01,1011.4995439493897,837.9448574780931,517.8489622227811,320.09589525531186,23.570996370188066,149.9836901011084,7.53067036516739,7617.2696399999995,203.19083333333333,63.90833333333335,1174.8039460687985
2012-01-01,1084.6809774026303,891.9777677378939,553.22223224975,338.7555354881437,27.90714468746604,164.7960649772704,7.532619227992995,8170.488786621288,211.27666666666656,68.81666666666668,1290.2976158848226
2013-01-01,1114.3542457913386,909.5242696437897,568.8362204736306,340.6880491701588,29.430165346763086,175.39981080078584,7.624960452938722,8496.907054723313,226.42083333333332,69.26666666666668,1453.1762652300122
